,Unnamed: 0,StateWellNumber,StateWel_1,LatitudeDD,Dlat,Mlat,Slat,LongitudeD,Dlong,Mlong,Slong,TDS_mg/L,WellDepth,SAR,Hardness_mg/L,Calcium_mg/L,Magnesium_mg/L,Sulfate_mg/L,Chloride_mg/L,Fluoride_mg/L,pH,Texture_SSURGO,Texture_Num,Clay_SSURGO,SAR_SSURGO,EC_SSURGO,label,ppt
135,135,1809901,1809901,33.780555,33,46,50.0,-96.891111,96,53,28.0,173.0,180,1.13,93.0,23.0,8.7,27.0,18.0,0.2,6.5,Loam,4,16.0,0,1.0,0,1025.136231
136,136,1819301,1819301,33.7105556,33,42,38.0,-96.6577778,96,39,28.0,443.3333333,788,33.22333333,6.0,1.933333333,0.476666667,135.0,12.33333333,0.6,8.033333333,Loam,4,16.0,0,1.0,0,1081.893555
137,137,1819304,1819304,33.7094444,33,42,34.0,-96.6575,96,39,27.0,327.0,688,20.64,6.0,1.0,1.0,69.0,21.0,0.7,8.2,Loam,4,16.0,0,1.0,0,1081.893555
138,138,1815902,1815902,33.7781111,33,46,41.2,-96.1398611,96,8,23.5,1817.6,489,74.098,18.4,4.12,2.05,268.8,239.6,4.18,8.36,Silt loam,5,14.0,0,1.0,1,1136.170898
139,139,1823302,1823302,33.732222,33,43,56.0,-96.144722,96,8,41.0,804.5,1046,44.965,9.0,2.4,0.715,76.65,144.0,2.3,8.866666667,Silt loam,5,14.0,0,1.0,1,1138.367798
140,140,1823603,1823603,33.698889,33,41,56.0,-96.147222,96,8,50.0,869.5,1097,66.44,4.245,1.6,0.4,181.0,76.5,2.5,8.5,Silt loam,5,14.0,0,1.0,1,1143.134522
141,141,1823805,1823805,33.652223,33,39,8.0,-96.178889,96,10,44.0,905.0,1136,58.795,4.0,1.0,0.56,205.0,79.0,1.4,8.65,Silt loam,5,14.0,0,1.0,0,1147.445923
142,142,1717602,1717602,33.694167,33,41,39.0,-95.914445,95,54,52.0,951.3333333,1208,51.17,7.333333333,2.466666667,0.433333333,211.0,100.0,1.6,8.4,Loam,4,14.0,3,1.0,0,1150.38562
143,143,1822802,1822802,33.655834,33,39,21.0,-96.318055,96,19,5.0,4143.75,70,2.8525,2606.5,640.0,245.5,2240.0,393.75,1.425,7.375,Loam,4,14.0,3,1.0,0,1110.310425
144,144,1823701,1823701,33.640834,33,38,27.0,-96.211667,96,12,42.0,816.5,1047,61.3175,5.5,1.466666667,0.666666667,222.7333333,59.63333333,1.145,8.46,Loam,4,14.0,3,1.0,0,1144.183716
145,145,1832201,1832201,33.610001,33,36,36.0,-96.056667,96,3,24.0,871.0,1454,51.105,7.5,1.5,1.0,258.0,62.0,1.4,8.15,Loam,4,14.0,3,1.0,0,1143.156372
146,146,1811804,1811804,33.775278,33,46,31.0,-96.6825,96,40,57.0,290.5,281,3.62,100.5,31.5,5.5,14.0,10.5,0.4,7.75,Fine sandy loam,8,14.0,0,1.0,0,1052.316528
147,147,1825901,1825901,33.530278,33,31,49.0,-96.905278,96,54,19.0,190.0,352,1.37,91.0,25.0,7.0,30.0,21.0,0.2,8.2,Fine sandy loam,8,14.0,0,1.0,0,1030.213501
148,148,3208504,3208504,32.955556,32,57,20.0,-97.075278,97,4,31.0,275.0,187,3.18,94.0,23.0,9.0,33.0,42.0,0.3,7.5,Fine sandy loam,8,14.0,0,1.0,0,971.3204956
149,149,3208505,3208505,32.955278,32,57,19.0,-97.08,97,4,48.0,288.0,197,1.9,158.5,39.0,15.0,49.0,60.5,0.3,6.95,Fine sandy loam,8,14.0,0,1.0,0,971.3204956
150,150,3223906,3223906,32.626111,32,37,34.0,-97.148889,97,8,56.0,397.0,160,1.3,245.0,72.0,16.0,92.0,46.0,0.4,8.1,Fine sandy loam,8,14.0,0,1.0,0,962.0147705
151,151,1811801,1811801,33.7636111,33,45,49.0,-96.6697222,96,40,11.0,395.2,375,4.232,123.6,35.75,7.75,17.25,6.5,0.248,7.896,Loam,4,13.0,3,1.0,0,1072.037476
152,152,1811802,1811802,33.759723,33,45,35.0,-96.668611,96,40,7.0,268.0,443,6.6,44.16666667,11.83333333,3.683333333,28.5,13.66666667,0.416666667,7.833333333,Loam,4,13.0,3,1.0,0,1072.037476
153,153,1811803,1811803,33.758612,33,45,31.0,-96.67,96,40,12.0,376.8333333,458,17.81833333,15.83333333,6.55,0.775,27.75,11.5,0.416666667,8.56,Loam,4,13.0,3,1.0,0,1072.037476
154,154,1820707,1820707,33.646111,33,38,46.0,-96.620833,96,37,15.0,480.1111111,786,29.74444444,12.22222222,2.844444444,1.383333333,68.22222222,52.22222222,0.7,8.5875,Loam,4,13.0,3,1.0,0,1083.800415
155,155,1820710,1820710,33.648334,33,38,54.0,-96.624444,96,37,28.0,300.0,789,18.80666667,12.11111111,2.611111111,1.455555556,29.44444444,17.5,0.644444444,8.0,Loam,4,13.0,3,1.0,0,1083.800415
156,156,1847601,1847601,33.295834,33,17,45.0,-96.146667,96,8,48.0,1136.666667,2318,62.32,10.33333333,2.333333333,1.166666667,190.3333333,151.6666667,3.133333333,8.633333333,Loam,4,12.5,3,1.0,1,1116.920776
157,157,1964315,1964315,33.094445,33,5,40.0,-97.011389,97,0,41.0,1161.0,212,34.47,51.33333333,11.66666667,5.5,264.0,162.6666667,2.316666667,8.266666667,Fine sandy loam,8,12.5,3,1.0,1,969.925354
158,158,1932802,1932802,33.541389,33,32,29.0,-97.068611,97,4,7.0,1530.0,60,2.59,904.0,224.0,84.0,426.0,457.0,0.7,6.7,Fine sandy loam,8,11.0,0,1.0,0,1020.050354
159,159,1940301,1940301,33.486389,33,29,11.0,-97.004167,97,0,15.0,417.75,105,14.7475,22.25,9.0,2.0,64.0,39.0,0.23,7.8225,Fine sandy loam,8,11.0,0,1.0,0,1026.701172
160,160,3207501,3207501,32.933889,32,56,2.0,-97.204723,97,12,17.0,707.0,17,1.93,411.0,130.0,21.0,179.0,85.0,0.8,7.5,Loam,4,9.5,1,1.0,0,953.6546631
161,161,3207806,3207806,32.908612,32,54,31.0,-97.203612,97,12,13.0,537.0,700,51.9,3.0,0.9,0.3,90.0,9.5,0.67,8.845,Loam,4,9.5,1,1.0,0,953.6546631
162,162,3207907,3207907,32.895834,32,53,45.0,-97.144167,97,8,39.0,311.5,87,2.715,122.5,35.0,7.0,25.0,67.0,0.9,7.3,Loam,4,9.5,1,1.0,0,965.1255493
163,163,3207911,3207911,32.891667,32,53,30.0,-97.130278,97,7,49.0,409.0,185,2.28,179.0,52.0,12.0,76.0,132.0,0.2,6.5,Loam,4,9.5,1,1.0,0,964.0881958
164,164,3208108,3208108,32.981944,32,58,55.0,-97.122222,97,7,20.0,368.0,70,9.88,34.0,9.0,3.0,48.0,35.0,0.4,7.6,Loam,4,9.5,1,1.0,0,964.3016968
165,165,3215310,3215310,32.853612,32,51,13.0,-97.155001,97,9,18.0,944.0,28,5.88,277.0,75.0,19.0,230.0,120.0,0.3,6.75,Loam,4,9.5,1,1.0,0,960.1945801
166,166,3215311,3215311,32.853612,32,51,13.0,-97.155001,97,9,18.0,1104.0,47,4.88,385.0,100.0,33.0,360.0,190.0,0.4,6.7,Loam,4,9.5,1,1.0,0,960.1945801
167,167,3215312,3215312,32.853612,32,51,13.0,-97.155001,97,9,18.0,1252.0,58,5.45,431.0,120.0,32.0,420.0,190.0,0.5,6.8,Loam,4,9.5,1,1.0,0,960.1945801
168,168,3215608,3215608,32.831111,32,49,52.0,-97.128055,97,7,41.0,378.0,26,1.04,212.0,54.0,19.0,81.0,110.0,0.3,6.0,Loam,4,9.5,1,1.0,0,967.4035645
